,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Ushuaia,AR,1543118400,20,81,-54.81,-68.31,42.8,13.27
1,Avarua,CK,1543118400,20,65,-21.21,-159.78,78.8,10.29
2,La Suiza,CR,1543118400,0,83,9.85,-83.61,69.8,3.36
3,Bredasdorp,ZA,1543118400,48,82,-34.53,20.04,64.4,3.36
4,Tuktoyaktuk,CA,1543118400,75,76,69.44,-133.03,-4.01,6.93
5,Ust-Nera,RU,1543120212,24,70,64.57,143.24,-18.08,1.99
6,Bathsheba,BB,1543118400,40,83,13.22,-59.52,80.6,19.46
7,Pangnirtung,CA,1543120213,92,93,66.15,-65.72,15.0,6.64
8,Vaini,TO,1543118400,20,58,-21.2,-175.2,82.4,8.05
9,Saint-Philippe,RE,1543118400,0,61,-21.36,55.77,80.6,18.34
10,Mount Gambier,AU,1543120214,12,67,-37.83,140.78,63.11,7.43
11,Sangmelima,CM,1543120215,76,97,2.93,11.98,71.07,1.05
12,Rikitea,PF,1543120290,68,95,-23.12,-134.97,77.73,9.26
13,Punta Arenas,CL,1543118400,20,81,-53.16,-70.91,44.6,32.21
14,Bluff,NZ,1543120217,24,94,-46.6,168.33,55.19,27.49
15,Keskin,TR,1543120217,8,74,39.67,33.62,24.86,2.62
16,Port Elizabeth,ZA,1543118700,90,93,-33.92,25.57,64.4,11.41
17,Castro,CL,1543120218,0,100,-42.48,-73.76,38.67,3.51
18,Bako,ET,1543120218,76,40,5.83,36.63,76.47,1.77
19,Cap Malheureux,MU,1543118400,40,69,-19.98,57.61,80.6,6.93
20,Ponta do Sol,CV,1543120220,44,100,17.2,-25.09,73.91,20.33
21,Los Llanos de Aridane,ES,1543120295,68,100,28.66,-17.92,67.61,7.25
22,Iqaluit,CA,1543118400,75,77,63.75,-68.52,3.2,17.22
23,Cabedelo,BR,1543118400,0,94,-6.97,-34.84,75.2,4.7
24,Calvinia,ZA,1543117620,0,50,-31.47,19.78,51.8,8.05
25,Itaituba,BR,1543120222,76,91,-4.26,-55.99,76.79,3.11
26,Maragogi,BR,1543120223,56,98,-9.01,-35.22,74.85,6.53
27,San Luis,MX,1543118220,1,55,32.49,-114.78,64.4,3.09
28,Albany,AU,1543120224,92,99,-35.02,117.88,54.42,16.31
29,Lufilufi,WS,1543114800,75,70,-13.87,-171.6,84.2,4.7
30,Hithadhoo,MV,1543120224,36,97,-0.6,73.08,84.89,7.25
31,Lebu,CL,1543120225,0,96,-37.62,-73.65,55.41,20.96
32,Chingirlau,KZ,1543120225,80,91,51.09,54.08,24.45,15.93
33,Kirakira,SB,1543120225,80,100,-10.46,161.92,83.67,8.1
34,Bindi,SL,1543120226,8,76,9.91,-11.45,61.08,2.51
35,Saint George,BM,1543118100,90,83,32.38,-64.68,69.8,24.16
36,Smoky Lake,CA,1543120226,48,69,54.11,-112.47,3.3,2.89
37,Coruripe,BR,1543120227,76,98,-10.12,-36.18,78.99,13.96
38,Mar del Plata,AR,1543120227,0,53,-46.43,-67.52,54.74,18.39
39,Hasaki,JP,1543116840,20,62,35.73,140.83,60.8,5.82
40,Nova Olimpia,BR,1543120227,92,99,-14.8,-57.29,71.88,3.78
41,Hobart,AU,1543118400,75,93,-42.88,147.33,53.6,13.87
42,Caravelas,BR,1543120228,92,100,-17.73,-39.27,78.54,14.29
43,Kodiak,US,1543117980,75,60,39.95,-94.76,51.08,13.87
44,Berlevag,NO,1543120229,64,100,70.86,29.09,31.11,19.06
45,Hilo,US,1543118160,40,79,19.71,-155.08,75.92,3.36
46,Nhulunbuy,AU,1543116600,0,50,-12.18,136.78,95.0,9.17
47,Barrow,US,1543118100,40,88,39.51,-90.4,44.06,5.82
48,Carnarvon,AU,1543120231,0,84,-24.87,113.63,71.52,19.17
49,Aitape,PG,1543120231,48,94,-3.15,142.36,83.09,6.08
50,Mercedes,AR,1543120231,0,86,-29.18,-58.08,58.38,5.91
51,Klaksvik,FO,1543117800,76,75,62.23,-6.59,41.0,5.82
52,Chokurdakh,RU,1543120232,64,66,70.62,147.9,-3.9,9.33
53,Mezen,RU,1543120232,92,88,65.85,44.24,19.73,3.85
54,Dorogobuzh,RU,1543120233,80,94,54.91,33.3,23.28,4.52
55,Muros,ES,1543118400,20,100,42.77,-9.06,37.4,8.66
56,Bethel,US,1543117980,90,96,60.79,-161.76,21.92,10.29
57,Thompson,CA,1543118400,40,77,55.74,-97.86,-2.21,4.7
58,Juegang,CN,1543120235,12,81,32.31,121.18,61.58,9.26
59,Puerto Ayora,EC,1543120235,56,100,-0.74,-90.35,70.76,10.89
60,Faanui,PF,1543120235,92,100,-16.48,-151.75,83.22,4.34
61,Camopi,GF,1543120236,68,88,3.17,-52.33,76.79,2.39
62,Nara,ML,1543120236,20,48,15.17,-7.29,70.58,12.68
63,Jamestown,SH,1543120236,88,100,-15.94,-5.72,67.38,15.64
64,Marawi,SD,1543120236,0,53,18.48,31.82,61.35,9.82
65,Port Alfred,ZA,1543120102,36,95,-33.59,26.89,66.44,1.86
66,Bonavista,CA,1543120237,68,100,48.65,-53.11,31.34,29.46
67,Hermanus,ZA,1543120237,20,81,-34.42,19.24,60.99,2.21
68,Berekum,GH,1543120238,56,97,7.45,-2.58,71.25,5.41
69,Samarai,PG,1543120238,0,97,-10.62,150.67,82.73,15.48
70,Pevek,RU,1543120239,48,100,69.7,170.27,-3.23,3.06
71,Kavaratti,IN,1543120201,12,100,10.57,72.64,83.76,3.06
72,Ixtapa,MX,1543117380,40,100,20.71,-105.21,71.6,2.1
73,Payson,US,1543119300,40,79,40.04,-111.73,33.08,6.93
74,Gushikawa,JP,1543118400,90,53,26.35,127.87,75.2,13.87
75,Okhotsk,RU,1543120240,64,100,59.36,143.24,16.13,7.25
76,Tokur,RU,1543120241,44,60,53.13,132.9,-0.08,3.11
77,Korla,CN,1543120218,0,53,41.76,86.15,39.3,6.08
78,Muheza,TZ,1543120241,68,91,-5.18,38.79,79.98,3.62
79,Khandyga,RU,1543120242,44,36,62.65,135.58,-24.6,3.11
80,Georgetown,SH,1543120242,80,100,-7.93,-14.42,75.84,16.15
81,Marienburg,SR,1543118400,0,94,5.88,-55.04,75.2,2.24
82,Jalu,LY,1543120243,0,77,29.03,21.55,47.67,2.84
83,Sao Felix do Xingu,BR,1543120243,68,97,-6.64,-51.99,74.76,2.1
84,Tyukalinsk,RU,1543120244,88,88,55.87,72.2,14.78,13.47
85,Busselton,AU,1543120244,56,100,-33.64,115.35,59.01,22.97
86,Izhma,RU,1543120244,24,62,65.01,53.91,-7.82,4.41
87,Cape Town,ZA,1543118400,20,93,-33.93,18.42,60.8,10.29
88,Norman Wells,CA,1543118400,90,83,65.28,-126.83,-5.81,3.36
89,Havre-Saint-Pierre,CA,1543114800,20,61,50.23,-63.6,15.8,6.93
90,Chuy,UY,1543120246,12,92,-33.69,-53.46,59.78,16.64
91,Carballo,ES,1543118400,90,100,43.21,-8.69,39.2,5.82
92,Olinda,BR,1543118400,75,69,-22.82,-43.41,82.4,1.12
